;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1900;21.79;21.09;20.78
1;1901;21.98;21.03;20.6
2;1902;21.68;21.14;20.59
3;1903;21.91;21.17;20.65
4;1904;22.2;21.32;20.77
5;1905;21.49;21.03;20.63
6;1906;21.58;21.0;20.58
7;1907;21.77;21.15;20.64
8;1908;22.33;21.36;20.53
9;1909;22.2;21.15;20.66
10;1910;21.6;21.0;20.59
11;1911;21.56;20.87;20.62
12;1912;22.07;21.14;20.61
13;1913;22.2;21.32;20.81
14;1914;21.56;20.94;20.57
15;1915;21.13;20.77;20.63
16;1916;22.29;21.27;20.72
17;1917;21.7;21.17;20.61
18;1918;21.88;21.29;20.9
19;1919;22.2;21.3;20.85
20;1920;21.51;20.96;20.63
21;1921;21.75;21.01;20.6
22;1922;22.17;21.08;20.52
23;1923;21.73;20.9;20.63
24;1924;21.96;21.01;20.55
25;1925;21.57;20.91;20.55
26;1926;21.34;20.9;20.62
27;1927;21.75;21.06;20.63
28;1928;22.2;21.38;20.84
29;1929;22.33;21.41;20.69
30;1930;21.74;21.27;20.61
31;1931;21.0;20.71;20.49
32;1932;21.56;20.94;20.71
33;1933;21.74;20.89;20.52
34;1934;21.33;20.67;20.39
35;1935;20.92;20.57;20.36
36;1936;21.68;20.73;20.22
37;1937;21.49;20.88;20.51
38;1938;21.82;20.99;20.64
39;1939;21.69;20.93;20.62
40;1940;21.19;20.74;20.45
41;1941;21.54;20.81;20.6
42;1942;21.42;20.88;20.61
43;1943;22.33;21.44;21.05
44;1944;21.51;20.89;20.6
45;1945;21.73;21.16;20.72
46;1946;22.04;21.14;20.55
47;1947;22.46;21.44;20.77
48;1948;21.84;21.11;20.64
49;1949;21.62;20.93;20.52
50;1950;21.46;21.07;20.76
51;1951;22.33;21.42;20.98
52;1952;22.07;21.37;20.81
53;1953;21.73;21.05;20.66
54;1954;21.98;21.21;20.64
55;1955;22.2;21.31;20.82
56;1956;21.64;21.14;20.78
57;1957;21.44;20.97;20.72
58;1958;21.45;20.89;20.64
59;1959;21.56;20.91;20.6
60;1960;22.18;21.28;20.77
61;1961;21.18;20.82;20.55
62;1962;21.5;20.84;20.62
63;1963;21.38;20.65;20.39
64;1964;20.76;20.5;20.0
65;1965;20.66;20.53;20.21
66;1966;21.28;20.81;20.6
67;1967;21.49;20.99;20.67
68;1968;21.8;21.15;20.68
69;1969;21.84;21.31;20.75
70;1970;21.61;21.14;20.78
71;1971;22.2;21.28;20.8
72;1972;22.2;21.51;20.77
73;1973;22.43;21.76;21.04
74;1974;22.4;21.66;21.04
75;1975;22.2;21.43;20.97
76;1976;22.52;21.82;21.14
77;1977;22.11;21.34;20.96
78;1978;22.33;21.52;20.85
79;1979;22.2;21.55;21.16
80;1980;22.1;21.49;21.09
81;1981;22.38;21.51;21.11
82;1982;22.54;21.42;20.94
83;1983;22.2;21.47;21.08
84;1984;22.2;21.59;21.18
85;1985;22.2;21.58;20.99
86;1986;22.29;21.76;21.31
87;1987;22.46;21.56;21.11
88;1988;22.13;21.23;20.81
89;1989;21.68;21.15;20.78
90;1990;21.88;21.4;20.94
91;1991;22.33;21.34;20.65
92;1992;21.93;21.26;20.87
93;1993;22.6;21.67;21.06
94;1994;22.49;21.43;20.95
95;1995;21.76;21.12;20.67
96;1996;22.2;21.5;21.17
97;1997;22.4;21.7;21.21
98;1998;22.33;21.44;20.68
99;1999;21.7;20.92;20.63
100;2000;21.54;21.03;20.66
101;2001;21.9;20.91;20.63
102;2002;22.0;21.08;20.63
103;2003;21.63;21.04;20.66
104;2004;22.12;21.32;20.92
105;2005;22.19;21.29;20.8
106;2006;21.85;21.3;20.89
107;2007;21.97;21.15;20.62
108;2008;22.2;21.36;20.91
109;2009;22.11;21.43;20.85
110;2010;21.41;21.02;20.76
111;2011;22.29;21.4;20.99
112;2012;22.07;20.99;20.46
113;2013;21.74;21.09;20.65
114;2014;22.22;21.41;20.94
115;2015;21.63;21.22;20.96
116;2016;22.43;21.31;20.79
117;2017;22.8;21.71;20.81
118;2018;22.66;21.71;21.28
119;2019;22.8;21.79;21.06
120;2020;22.68;21.74;20.99
