YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;231.64300000000003;282.0;28.477999999999998
1927;79.86600000000001;27.0;58.891
1928;223.805;90.0;150.22
1929;213.69799999999998;0.0;213.69799999999998
1930;396.64599999999996;411.0;65.999
1931;46.019;0.0;46.019
1932;230.781;248.0;47.17
1933;178.802;236.0;0.0
1934;220.90000000000003;289.0;12.257
1935;162.418;143.0;37.47
1936;287.649;274.0;71.577
1937;373.043;0.0;373.043
1938;392.013;34.0;375.472
1939;185.51800000000003;242.0;0.0
1940;366.874;228.0;165.42000000000002
1941;388.43;444.0;19.729
1942;244.466;299.0;25.410000000000004
1943;272.693;270.0;55.389
1944;400.70500000000004;471.0;52.526
1945;235.072;301.0;19.449999999999996
1946;328.5;382.0;41.58800000000001
1947;250.632;0.0;250.632
1948;346.52200000000005;265.0;121.798
1949;403.70099999999996;454.0;29.659
1950;409.12300000000005;472.0;41.075
1951;149.665;194.0;0.0
1952;221.356;304.0;1.127
1953;262.206;271.0;64.571
1954;193.027;276.0;0.0
1955;200.61400000000003;268.0;0.0
1956;337.139;0.0;337.139
1957;32.328;8.0;30.141000000000002
1958;342.25;268.0;95.978
1959;359.995;432.0;42.041999999999994
1960;191.479;248.0;0.0
1961;215.546;189.0;48.508
1962;134.976;92.0;59.647000000000006
1963;395.713;420.0;73.84100000000001
1964;49.36;6.0;44.962
1965;107.86700000000002;0.0;107.86700000000002
1966;124.58800000000001;92.0;44.7
1967;151.43400000000003;0.0;151.43400000000003
1968;407.339;456.0;48.163
1969;195.654;240.0;0.394
1970;231.223;248.0;41.448
1971;168.49699999999999;219.0;0.0
1972;207.086;229.0;47.902
1973;195.80599999999998;226.0;54.71300000000001
1974;142.55599999999998;0.0;142.55599999999998
1975;243.349;274.0;33.404
1976;195.80800000000002;253.0;0.0
1977;335.41;339.0;66.55000000000001
1978;196.304;255.0;0.0
1979;193.98000000000002;258.0;23.222
1980;41.307;0.0;41.307
1981;403.573;473.0;40.477000000000004
1982;317.673;395.0;13.214999999999998
1983;297.929;0.0;297.929
1984;273.34400000000005;189.0;101.34500000000001
1985;310.879;227.0;109.88500000000002
1986;223.95;301.0;0.0
1987;385.377;375.0;47.193000000000005
1988;393.764;418.0;29.317000000000004
1989;76.963;0.0;76.963
1990;422.32099999999997;417.0;70.441
1991;405.752;0.0;405.752
1992;120.088;1.0;119.73500000000001
1993;211.745;276.0;0.099
1994;170.433;217.0;0.0
1995;31.583000000000006;9.0;28.961000000000002
1996;67.772;0.0;67.772
1997;239.449;5.0;237.19100000000003
1998;183.961;237.0;0.0
1999;162.17700000000002;171.0;32.991
2000;424.257;366.0;133.27100000000002
2001;307.69000000000005;343.0;48.978
2002;82.121;0.0;82.121
2003;54.506;0.0;54.506
2004;339.912;373.0;37.157000000000004
2005;236.798;223.0;62.35000000000001
2006;393.01800000000003;409.0;41.796
2007;231.244;314.0;4.587
2008;181.51999999999998;232.0;0.0
2009;227.04500000000002;249.0;42.702
2010;137.967;73.0;70.594
2011;203.373;0.0;203.373
2012;404.437;449.0;26.894000000000005
2013;146.693;155.0;28.820999999999998
2014;190.849;246.0;0.0
2015;150.6;132.0;34.955
2016;273.595;318.0;36.427
